iter	Passed	Remaining
586	11825	8320
587	11846	8300
588	11866	8280
589	11885	8259
590	11904	8238
591	11925	8218
592	11946	8199
593	11965	8178
594	11985	8158
595	12004	8137
596	12025	8117
597	12044	8096
598	12064	8076
599	12086	8057
600	12108	8038
601	12127	8018
602	12147	7997
603	12166	7976
604	12187	7956
605	12207	7937
606	12228	7917
607	12251	7899
608	12271	7878
609	12291	7858
610	12310	7837
611	12328	7816
612	12348	7795
613	12368	7775
614	12390	7756
615	12409	7736
616	12429	7715
617	12448	7694
618	12468	7674
619	12489	7654
620	12508	7634
621	12528	7613
622	12548	7593
623	12579	7579
624	12599	7559
625	12620	7539
626	12639	7519
627	12658	7498
628	12677	7477
629	12697	7457
630	12718	7437
631	12738	7417
632	12759	7397
633	12780	7377
634	12799	7357
635	12819	7336
636	12840	7317
637	12860	7297
638	12878	7275
639	12898	7255
640	12916	7234
641	12935	7213
642	12956	7193
643	12977	7173
644	12997	7153
645	13017	7133
646	13037	7113
647	13056	7092
648	13075	7071
649	13094	7050
650	13113	7030
651	13134	7010
652	13158	6992
653	13179	6972
654	13200	6952
655	13219	6932
656	13239	6911
657	13261	6892
658	13282	6873
659	13302	6853
660	13322	6832
661	13344	6813
662	13365	6793
663	13384	6772
664	13404	6752
665	13423	6731
666	13443	6711
667	13463	6691
668	13483	6671
669	13503	6650
670	13522	6630
671	13542	6610
672	13572	6594
673	13592	6574
674	13612	6553
675	13634	6534
676	13654	6514
677	13674	6494
678	13694	6474
679	13715	6454
680	13734	6433
681	13754	6413
682	13775	6393
683	13795	6373
684	13815	6352
685	13835	6332
686	13855	6312
687	13875	6292
688	13896	6272
689	13917	6252
690	13939	6233
691	13959	6212
692	13978	6192
693	13999	6172
694	14020	6152
695	14040	6132
696	14061	6112
697	14082	6093
698	14102	6072
699	14121	6052
700	14142	6032
701	14164	6012
702	14189	5994
703	14210	5974
704	14231	5955
705	14251	5934
706	14271	5914
707	14291	5894
708	14310	5873
709	14328	5852
710	14347	5831
711	14366	5811
712	14385	5790
713	14405	5770
714	14424	5749
715	14443	5728
716	14461	5708
717	14481	5687
718	14500	5667
719	14520	5646
720	14540	5626
721	14568	5609
722	14587	5588
723	14606	5568
724	14625	5547
725	14644	5527
726	14664	5506
727	14684	5486
728	14705	5466
729	14724	5446
730	14744	5425
731	14764	5405
732	14784	5385
733	14803	5364
734	14823	5344
735	14843	5324
736	14863	5303
737	14882	5283
738	14901	5262
739	14921	5242
740	14943	5223
741	14965	5203
742	14985	5183
743	15005	5163
744	15025	5142
745	15044	5122
746	15064	5102
747	15084	5081
748	15104	5061
749	15123	5041
750	15143	5020
751	15163	5000
752	15182	4980
753	15202	4959
754	15221	4939
755	15242	4919
756	15261	4898
757	15281	4878
758	15300	4858
759	15321	4838
760	15341	4818
761	15360	4797
762	15380	4777
763	15400	4757
764	15421	4737
765	15443	4717
766	15462	4697
767	15481	4676
768	15501	4656
769	15521	4636
770	15550	4618
771	15569	4598
772	15588	4577
773	15607	4557
774	15626	4536
775	15645	4516
776	15665	4495
777	15684	4475
778	15704	4455
779	15723	4434
780	15744	4414
781	15763	4394
782	15784	4374
783	15804	4354
784	15823	4333
785	15843	4313
786	15862	4293
787	15881	4272
788	15900	4252
789	15919	4231
790	15938	4211
791	15957	4190
792	15977	4170
793	15997	4150
794	16016	4129
795	16035	4109
796	16054	4089
797	16074	4068
798	16092	4048
799	16111	4027
800	16129	4007
801	16151	3987
802	16169	3966
803	16189	3946
804	16224	3930
805	16290	3921
806	16312	3901
807	16333	3881
808	16354	3861
809	16375	3841
810	16395	3821
811	16418	3801
812	16438	3780
813	16459	3761
814	16480	3740
815	16504	3721
816	16526	3701
817	16551	3682
818	16578	3663
819	16601	3644
820	16621	3623
821	16641	3603
822	16662	3583
823	16684	3563
824	16704	3543
825	16724	3523
826	16745	3502
827	16765	3482
828	16786	3462
829	16809	3442
830	16830	3422
831	16852	3402
832	16873	3382
833	16896	3363
834	16917	3343
835	16938	3322
836	16957	3302
837	16978	3282
838	17001	3262
839	17022	3242
840	17043	3222
841	17065	3202
842	17089	3182
843	17112	3162
844	17135	3143
845	17163	3124
846	17185	3104
847	17210	3084
848	17234	3065
849	17255	3045
850	17278	3025
851	17301	3005
852	17325	2985
853	17351	2966
854	17375	2946
855	17396	2926
856	17420	2906
857	17442	2886
858	17464	2866
859	17485	2846
860	17510	2826
861	17535	2807
862	17573	2789
863	17597	2769
864	17618	2749
865	17643	2730
866	17670	2710
867	17699	2691
868	17723	2671
869	17747	2651
870	17772	2632
871	17798	2612
872	17821	2592
873	17842	2572
874	17864	2552
875	17886	2531
876	17910	2511
877	17933	2491
878	17957	2471
879	17982	2452
880	18005	2432
881	18026	2411
882	18046	2391
883	18067	2370
884	18087	2350
885	18107	2329
886	18128	2309
887	18150	2289
888	18170	2268
889	18191	2248
890	18210	2227
891	18232	2207
892	18251	2186
893	18270	2166
894	18290	2145
895	18309	2125
896	18328	2104
897	18347	2084
898	18367	2063
899	18388	2043
900	18408	2022
901	18427	2002
902	18448	1981
903	18467	1961
904	18488	1940
905	18508	1920
906	18528	1899
907	18557	1880
908	18578	1859
909	18597	1839
910	18616	1818
911	18635	1798
912	18654	1777
913	18673	1757
914	18692	1736
915	18712	1715
916	18732	1695
917	18752	1675
918	18772	1654
919	18792	1634
920	18811	1613
921	18831	1593
922	18850	1572
923	18869	1552
924	18889	1531
925	18908	1511
926	18927	1490
927	18948	1470
928	18967	1449
929	18986	1429
930	19009	1408
931	19027	1388
932	19048	1367
933	19071	1347
934	19091	1327
935	19112	1306
936	19132	1286
937	19154	1266
938	19177	1245
939	19199	1225
940	19223	1205
941	19243	1184
942	19263	1164
943	19283	1143
944	19303	1123
945	19322	1103
946	19342	1082
947	19362	1062
948	19384	1041
949	19403	1021
950	19423	1000
951	19442	980
952	19462	959
953	19481	939
954	19501	918
955	19521	898
956	19550	878
957	19574	858
958	19596	837
959	19615	817
960	19635	796
961	19654	776
962	19672	755
963	19692	735
964	19712	714
965	19732	694
966	19751	674
967	19771	653
968	19790	633
969	19810	612
970	19830	592
971	19850	571
972	19871	551
973	19890	530
974	19909	510
975	19930	490
976	19948	469
977	19968	449
978	19990	428
979	20011	408
980	20031	387
981	20051	367
982	20071	347
983	20092	326
984	20112	306
985	20132	285
986	20152	265
987	20171	244
988	20190	224
989	20209	204
990	20229	183
991	20250	163
992	20271	142
993	20290	122
994	20311	102
995	20330	81
996	20349	61
997	20366	40
998	20384	20
999	20403	0
